"FID"	"IID"	"region"
"CLM52"	"HG01459"	"CLM"
"CLM53"	"HG01461"	"CLM"
"CLM53"	"HG01462"	"CLM"
"CLM53"	"HG01463"	"CLM"
"CLM54"	"HG01464"	"CLM"
"CLM54"	"HG01465"	"CLM"
"CLM54"	"HG01466"	"CLM"
"CLM55"	"HG01468"	"CLM"
"CLM56"	"HG01471"	"CLM"
"CLM57"	"HG01473"	"CLM"
"CLM57"	"HG01474"	"CLM"
"CLM58"	"HG01477"	"CLM"
"CLM59"	"HG01479"	"CLM"
"CLM59"	"HG01480"	"CLM"
"CLM59"	"HG01481"	"CLM"
"CLM60"	"HG01482"	"CLM"
"CLM60"	"HG01483"	"CLM"
"CLM60"	"HG01484"	"CLM"
"CLM61"	"HG01485"	"CLM"
"CLM61"	"HG01486"	"CLM"
"CLM61"	"HG01487"	"CLM"
"CLM62"	"HG01488"	"CLM"
"CLM62"	"HG01489"	"CLM"
"CLM62"	"HG01490"	"CLM"
"CLM63"	"HG01491"	"CLM"
"CLM63"	"HG01492"	"CLM"
"CLM63"	"HG01493"	"CLM"
"CLM64"	"HG01494"	"CLM"
"CLM64"	"HG01495"	"CLM"
"CLM64"	"HG01496"	"CLM"
"CLM65"	"HG01497"	"CLM"
"CLM65"	"HG01498"	"CLM"
"CLM65"	"HG01499"	"CLM"
"CLM66"	"HG01550"	"CLM"
"CLM66"	"HG01551"	"CLM"
"CLM66"	"HG01552"	"CLM"
"CLM68"	"HG01556"	"CLM"
"PEL001"	"HG01565"	"PEL"
"PEL001"	"HG01566"	"PEL"
"PEL001"	"HG01567"	"PEL"
"PEL003"	"HG01571"	"PEL"
"PEL003"	"HG01572"	"PEL"
"PEL003"	"HG01573"	"PEL"
"PEL005"	"HG01577"	"PEL"
"PEL005"	"HG01578"	"PEL"
"PEL005"	"HG01579"	"PEL"
"PEL007"	"HG01892"	"PEL"
"PEL007"	"HG01893"	"PEL"
"PEL007"	"HG01898"	"PEL"
"PEL006"	"HG01917"	"PEL"
"PEL006"	"HG01918"	"PEL"
"PEL006"	"HG01919"	"PEL"
"PEL009"	"HG01920"	"PEL"
"PEL009"	"HG01921"	"PEL"
"PEL009"	"HG01922"	"PEL"
"PEL010"	"HG01923"	"PEL"
"PEL010"	"HG01924"	"PEL"
"PEL010"	"HG01925"	"PEL"
"PEL011"	"HG01926"	"PEL"
"PEL011"	"HG01927"	"PEL"
"PEL011"	"HG01928"	"PEL"
"PEL013"	"HG01932"	"PEL"
"PEL013"	"HG01933"	"PEL"
"PEL013"	"HG01934"	"PEL"
"PEL014"	"HG01935"	"PEL"
"PEL014"	"HG01936"	"PEL"
"PEL014"	"HG01937"	"PEL"
"PEL015"	"HG01938"	"PEL"
"PEL015"	"HG01939"	"PEL"
"PEL015"	"HG01940"	"PEL"
"PEL016"	"HG01941"	"PEL"
"PEL016"	"HG01942"	"PEL"
"PEL016"	"HG01943"	"PEL"
"PEL017"	"HG01944"	"PEL"
"PEL017"	"HG01945"	"PEL"
"PEL017"	"HG01946"	"PEL"
"PEL018"	"HG01947"	"PEL"
"PEL018"	"HG01948"	"PEL"
"PEL018"	"HG01949"	"PEL"
"PEL019"	"HG01950"	"PEL"
"PEL019"	"HG01951"	"PEL"
"PEL019"	"HG01952"	"PEL"
"PEL020"	"HG01953"	"PEL"
"PEL020"	"HG01954"	"PEL"
"PEL020"	"HG01955"	"PEL"
"PEL21"	"HG01961"	"PEL"
"PEL22"	"HG01965"	"PEL"
"PEL023"	"HG01967"	"PEL"
"PEL023"	"HG01968"	"PEL"
"PEL023"	"HG01969"	"PEL"
"PEL024"	"HG01970"	"PEL"
"PEL024"	"HG01971"	"PEL"
"PEL024"	"HG01972"	"PEL"
"PEL25"	"HG01973"	"PEL"
"PEL25"	"HG01974"	"PEL"
"PEL25"	"HG01975"	"PEL"
"PEL26"	"HG01976"	"PEL"
"PEL26"	"HG01977"	"PEL"
"PEL26"	"HG01978"	"PEL"
"PEL27"	"HG01979"	"PEL"
"PEL27"	"HG01980"	"PEL"
"PEL27"	"HG01981"	"PEL"
"PEL28"	"HG01982"	"PEL"
"PEL28"	"HG01983"	"PEL"
"PEL28"	"HG01984"	"PEL"
"PEL29"	"HG01991"	"PEL"
"PEL29"	"HG01992"	"PEL"
"PEL29"	"HG01993"	"PEL"
"PEL30"	"HG01995"	"PEL"
"PEL31"	"HG01997"	"PEL"
"PEL31"	"HG01998"	"PEL"
"PEL33"	"HG02002"	"PEL"
"PEL33"	"HG02003"	"PEL"
"PEL33"	"HG02004"	"PEL"
"PEL34"	"HG02006"	"PEL"
"PEL31"	"HG02008"	"PEL"
"PEL35"	"HG02089"	"PEL"
"PEL35"	"HG02090"	"PEL"
"PEL35"	"HG02091"	"PEL"
"PEL37"	"HG02102"	"PEL"
"PEL38"	"HG02104"	"PEL"
"PEL38"	"HG02105"	"PEL"
"PEL38"	"HG02106"	"PEL"
"PEL39"	"HG02146"	"PEL"
"PEL39"	"HG02147"	"PEL"
"PEL39"	"HG02148"	"PEL"
"PEL40"	"HG02150"	"PEL"
"PEL41"	"HG02252"	"PEL"
"PEL41"	"HG02253"	"PEL"
"PEL41"	"HG02254"	"PEL"
"PEL42"	"HG02259"	"PEL"
"PEL42"	"HG02260"	"PEL"
"PEL42"	"HG02261"	"PEL"
"PEL43"	"HG02262"	"PEL"
"PEL44"	"HG02265"	"PEL"
"PEL44"	"HG02266"	"PEL"
"PEL44"	"HG02267"	"PEL"
"PEL46"	"HG02271"	"PEL"
"PEL46"	"HG02272"	"PEL"
"PEL46"	"HG02273"	"PEL"
"PEL47"	"HG02274"	"PEL"
"PEL47"	"HG02275"	"PEL"
"PEL47"	"HG02276"	"PEL"
"PEL48"	"HG02277"	"PEL"
"PEL48"	"HG02278"	"PEL"
"PEL48"	"HG02279"	"PEL"
"PEL49"	"HG02285"	"PEL"
"PEL49"	"HG02286"	"PEL"
"PEL49"	"HG02287"	"PEL"
"PEL50"	"HG02288"	"PEL"
"PEL51"	"HG02291"	"PEL"
"PEL51"	"HG02292"	"PEL"
"PEL51"	"HG02293"	"PEL"
"PEL52"	"HG02298"	"PEL"
"PEL52"	"HG02299"	"PEL"
"PEL52"	"HG02300"	"PEL"
"PEL53"	"HG02301"	"PEL"
"PEL53"	"HG02302"	"PEL"
"PEL53"	"HG02303"	"PEL"
"PEL54"	"HG02304"	"PEL"
"PEL55"	"HG02312"	"PEL"
"PEL56"	"HG02344"	"PEL"
"PEL56"	"HG02345"	"PEL"
"PEL57"	"HG02347"	"PEL"
"PEL57"	"HG02348"	"PEL"
"PEL58"	"HG02415"	"PEL"
"PEL59"	"HG02425"	"PEL"
"m001"	"NA19648"	"MXL"
"m001"	"NA19649"	"MXL"
"m001"	"NA19650"	"MXL"
"m005"	"NA19651"	"MXL"
"m005"	"NA19652"	"MXL"
"m005"	"NA19653"	"MXL"
"m006"	"NA19654"	"MXL"
"m006"	"NA19655"	"MXL"
"m006"	"NA19656"	"MXL"
"m007"	"NA19657"	"MXL"
"m007"	"NA19658"	"MXL"
"m007"	"NA19659"	"MXL"
"m008"	"NA19660"	"MXL"
"m008"	"NA19661"	"MXL"
"m008"	"NA19662"	"MXL"
"m012"	"NA19663"	"MXL"
"m012"	"NA19664"	"MXL"
"m012"	"NA19665"	"MXL"
"m002"	"NA19669"	"MXL"
"m002"	"NA19670"	"MXL"
"m002"	"NA19671"	"MXL"
"2382"	"NA19672"	"MXL"
"2382"	"NA19674"	"MXL"
"m004"	"NA19675"	"MXL"
